results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
10.24,+0.9,Harry ADAMS,89,USA,F1,9,"Stadio Olimpico, Roma (ITA)",04.06,1125
10.24,-1.7,Diondre BATSON,92,USA,F,5,"Icahn Stadium, New York, NY (USA)",13.06,1135
10.24,-0.3,Charles SILMON,91,USA,H1,4,"Olympic Stadium, London (GBR)",24.07,1126
10.26,+1.9,Ojie EDOBURUN,96,GBR,H1,7,"Alexander Stadium, Birmingham (GBR)",07.06,1118
10.26,+1.0,Calesio NEWMAN,86,USA,H2,6,"Alexander Stadium, Birmingham (GBR)",07.06,1118
10.27,+1.5,Richard THOMPSON,85,TTO,F,7,"Hayward Field, Eugene, OR (USA)",30.05,1115
10.27,+1.0,James ELLINGTON,85,GBR,H2,7,"Alexander Stadium, Birmingham (GBR)",07.06,1115
10.28,+1.5,Justin WALKER,90,USA,F,8,"Hayward Field, Eugene, OR (USA)",30.05,1112
10.28,-1.7,Nickel ASHMEADE,90,JAM,F,6,"Icahn Stadium, New York, NY (USA)",13.06,1122
10.29,-0.3,Mosito LEHATA,89,LES,F2,4,"Stadio Olimpico, Roma (ITA)",04.06,1109
10.32,+1.3,Guy-Elphege ANOUMAN,94,FRA,F,9,Paris (FRA),04.07,1099
10.33,-0.3,Harry AIKINES-ARYEETEY,88,GBR,H1,5,"Olympic Stadium, London (GBR)",24.07,1096
10.35,+1.0,Keith RICKS,90,USA,H2,8,"Alexander Stadium, Birmingham (GBR)",07.06,1089
10.35,-0.3,James ELLINGTON,85,GBR,H1,6,"Olympic Stadium, London (GBR)",24.07,1090
10.36,-0.3,Massimiliano FERRARO,91,ITA,F2,5,"Stadio Olimpico, Roma (ITA)",04.06,1086
10.36,+1.9,Harry ADAMS,89,USA,H1,8,"Alexander Stadium, Birmingham (GBR)",07.06,1085
10.36,-0.5,Michael NORMAN,97,USA,F,1,"Icahn Stadium, New York, NY (USA)",13.06,1088
10.39,-0.3,Ojie EDOBURUN,96,GBR,H1,7,"Olympic Stadium, London (GBR)",24.07,1077
10.40,-1.7,Trell KIMMONS,85,USA,F,7,"Icahn Stadium, New York, NY (USA)",13.06,1082
10.40,-0.3,Ryan BAILEY,89,USA,H1,8,"Olympic Stadium, London (GBR)",24.07,1073
10.41,+0.3,Reto Amaru SCHENKEL,88,SUI,F,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07,1069
10.44,-0.3,Keith RICKS,90,USA,F2,6,"Stadio Olimpico, Roma (ITA)",04.06,1060
10.44,-0.3,Delmas OBOU,91,ITA,F2,7,"Stadio Olimpico, Roma (ITA)",04.06,1060
10.45,-0.5,Tavien FEASTER,97,USA,F,2,"Icahn Stadium, New York, NY (USA)",13.06,1059
10.45,-1.7,Joseph MORRIS,89,USA,F,8,"Icahn Stadium, New York, NY (USA)",13.06,1066
10.46,+0.5,Pierre VINCENT,92,FRA,F,1,Paris (FRA),04.07,1053
10.48,+0.5,Harold VULGAIRE,89,FRA,F,2,Paris (FRA),04.07,1047
10.49,-0.5,Darryl HARAWAY,97,USA,F,3,"Icahn Stadium, New York, NY (USA)",13.06,1046
10.50,+0.5,Jeffrey LAMI,94,FRA,F,3,Paris (FRA),04.07,1040
10.53,-0.3,Michael TUMI,90,ITA,F2,8,"Stadio Olimpico, Roma (ITA)",04.06,1032
10.55,+0.3,Pascal MANCINI,89,SUI,F,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07,1024
10.57,+0.3,Rolf FONGUÉ,87,SUI,F,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07,1018
10.58,-1.9,Salum Ageze KASHAFALI,93,NOR,F,1,"Bislett Stadion, Oslo (NOR)",11.06,1026
10.58,-0.5,Anton PORTER,96,USA,F,4,"Icahn Stadium, New York, NY (USA)",13.06,1018
10.58,+0.5,Dylan RIGOT,89,FRA,F,4,Paris (FRA),04.07,1015
10.58,+0.5,Katim TOURÉ,87,SEN,F,5,Paris (FRA),04.07,1015
10.59,+0.5,Pierre CHALUS,93,FRA,F,6,Paris (FRA),04.07,1011
