results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
10.29,-1.6,Marlon DEVONISH,76,GBR,H1,4.0,"International Stadium, Gateshead (GBR)",10.07,1117
10.29,-1.7,Michael FRATER,82,JAM,F,7.0,"International Stadium, Gateshead (GBR)",10.07,1118
10.29,0.0,Rae Monzavous EDWARDS,81,USA,F,8.0,"Olympiastadion, Stockholm (SWE)",6.08,1108
10.29,-0.4,Wallace SPEARMON,84,USA,F,7.0,"Crystal Palace, London (GBR)",13.08,1110
10.3,0.6,Mark LEWIS-FRANCIS,82,GBR,F,8.0,"Stadio Olimpico, Roma (ITA)",10.06,1105
10.3,-0.1,Rae Monzavous EDWARDS,81,USA,H2,4.0,"Olympiastadion, Stockholm (SWE)",6.08,1105
10.3,-0.3,Mark LEWIS-FRANCIS,82,GBR,H2,6.0,"Crystal Palace, London (GBR)",13.08,1106
10.31,1.7,Ronald POGNON,82,FRA,H1,5.0,"Bislett Stadion, Oslo (NOR)",4.06,1102
10.31,-0.7,Travis PADGETT,86,USA,H1,4.0,"Olympiastadion, Stockholm (SWE)",6.08,1106
10.32,1.7,Mario FORSYTHE,85,JAM,H1,6.0,"Bislett Stadion, Oslo (NOR)",4.06,1099
10.32,0.6,Ronald POGNON,82,FRA,F,9.0,"Stadio Olimpico, Roma (ITA)",10.06,1099
10.32,-1.6,Richard THOMPSON,85,TTO,H1,5.0,"International Stadium, Gateshead (GBR)",10.07,1108
10.32,-0.7,Marlon DEVONISH,76,GBR,H1,5.0,"Olympiastadion, Stockholm (SWE)",6.08,1103
10.33,1.1,Rytis SAKALAUSKAS,87,LTU,H2,2.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1095
10.34,-1.7,Marlon DEVONISH,76,GBR,F,8.0,"International Stadium, Gateshead (GBR)",10.07,1102
10.34,-0.3,Churandy MARTINA,84,AHO,H2,7.0,"Crystal Palace, London (GBR)",13.08,1093
10.35,-0.4,Marlon DEVONISH,76,GBR,H1,6.0,"Crystal Palace, London (GBR)",13.08,1091
10.35,0.6,Ángel David RODRÍGUEZ,80,ESP,F,4.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1089
10.37,-0.9,Jeffrey LAWAL-BALOGUN,86,GBR,F1,1.0,"Letzigrund, Zürich (SUI)",19.08,1087
10.37,0.6,Alexander KOSENKOW,77,GER,F,5.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1082
10.38,0.4,Ángel David RODRÍGUEZ,80,ESP,H3,1.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1079
10.39,-0.7,Emmanuel CALLENDER,84,TTO,H1,6.0,"Olympiastadion, Stockholm (SWE)",6.08,1080
10.39,-0.9,Jared CONNAUGHTON,85,CAN,F1,2.0,"Letzigrund, Zürich (SUI)",19.08,1081
10.4,-2.0,Leroy DIXON,83,USA,H2,5.0,"International Stadium, Gateshead (GBR)",10.07,1084
10.4,1.1,Alexander KOSENKOW,77,GER,H2,3.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1072
10.41,0.9,Jacques RIPARELLI,83,ITA,F1,1.0,"Stadio Olimpico, Roma (ITA)",10.06,1069
10.43,1.3,Roberto DONATI,83,ITA,F2,1.0,"Stadio Olimpico, Roma (ITA)",10.06,1063
10.44,0.9,Emmanuel BIRON,88,FRA,F1,2.0,"Stadio Olimpico, Roma (ITA)",10.06,1059
10.44,1.3,Giovanni TOMASICCHIO,82,ITA,F2,2.0,"Stadio Olimpico, Roma (ITA)",10.06,1059
10.44,0.5,Brendan CHRISTIAN,83,ANT,F,6.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,1059
10.44,-0.1,Aaron ARMSTRONG,77,TTO,H2,5.0,"Olympiastadion, Stockholm (SWE)",6.08,1059
10.45,-0.8,Matthew DAVIES,85,AUS,F2,5.0,"Letzigrund, Zürich (SUI)",19.08,1060
10.45,-0.7,Emanuele DI GREGORIO,80,ITA,H1,1.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1060
10.45,0.4,Matic OSOVNIKAR,80,SLO,H3,2.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1056
10.45,0.6,Ryan MOSELEY,82,AUT,F,6.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1056
10.45,0.6,Matic OSOVNIKAR,80,SLO,F,7.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1056
10.46,0.4,Ryan MOSELEY,82,AUT,H3,3.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1053
10.47,-0.1,Brian DZINGAI,81,ZIM,H2,6.0,"Olympiastadion, Stockholm (SWE)",6.08,1050
10.51,-0.4,Christian MALCOLM,79,GBR,H1,7.0,"Crystal Palace, London (GBR)",13.08,1039
10.52,1.3,Giovanni CODRINGTON,88,NED,F2,3.0,"Stadio Olimpico, Roma (ITA)",10.06,1034
10.53,0.9,Rosario LA MASTRA,84,ITA,F1,3.0,"Stadio Olimpico, Roma (ITA)",10.06,1031
10.53,1.3,Yannick LESOURD,88,FRA,F2,4.0,"Stadio Olimpico, Roma (ITA)",10.06,1031
10.53,-1.6,Nick SMITH,82,GBR,H1,6.0,"International Stadium, Gateshead (GBR)",10.07,1040
10.56,-0.3,Tremayne GILLING,90,GBR,H2,8.0,"Crystal Palace, London (GBR)",13.08,1022
10.57,0.5,Reto Amaru SCHENKEL,88,SUI,F,7.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,1018
10.57,-2.0,Shawn CRAWFORD,78,USA,H2,6.0,"International Stadium, Gateshead (GBR)",10.07,1030
10.57,-0.1,Ryan MOSELEY,82,AUT,H2,7.0,"Olympiastadion, Stockholm (SWE)",6.08,1018
10.58,0.9,Robert KUBACZYK,86,POL,F1,4.0,"Stadio Olimpico, Roma (ITA)",10.06,1015
10.58,1.3,Dariusz KUĆ,86,POL,F2,5.0,"Stadio Olimpico, Roma (ITA)",10.06,1015
10.58,-2.0,Tremayne GILLING,90,GBR,H2,7.0,"International Stadium, Gateshead (GBR)",10.07,1027
10.58,-0.9,Reto Amaru SCHENKEL,88,SUI,F1,3.0,"Letzigrund, Zürich (SUI)",19.08,1020
10.58,0.6,Wout VERHOEVEN,88,BEL,F,8.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1015
10.59,-1.6,Craig PICKERING,86,GBR,H1,7.0,"International Stadium, Gateshead (GBR)",10.07,1020
10.59,-0.9,Robert KUBACZYK,86,POL,F1,4.0,"Letzigrund, Zürich (SUI)",19.08,1016
10.6,-0.2,Pascal MANCINI,89,SUI,F,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,1009
10.6,-0.2,Alex WILSON,90,SUI,F,2.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,1009
10.6,0.4,Jonathan HOLMES,89,IRL,H3,4.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1008
10.6,0.6,Robert KUBACZYK,86,POL,F,9.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1008
10.61,-0.2,Reto Amaru SCHENKEL,88,SUI,F,3.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,1006
10.63,-0.1,Alexander NORDKVIST,90,SWE,H2,8.0,"Olympiastadion, Stockholm (SWE)",6.08,999
10.64,-0.9,Giovanni CODRINGTON,88,NED,F1,5.0,"Letzigrund, Zürich (SUI)",19.08,1001
10.65,-0.2,Rolf FONGUÉ,87,SUI,F,4.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,994
10.65,0.4,Giovanni CODRINGTON,88,NED,H3,5.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,993
10.66,1.3,Wout VERHOEVEN,88,BEL,F2,6.0,"Stadio Olimpico, Roma (ITA)",10.06,990
10.67,0.9,Daniel MOLOWNY SOLANA,88,ESP,F1,5.0,"Stadio Olimpico, Roma (ITA)",10.06,986
10.67,1.3,Iván MOCHOLÍ,83,ESP,F2,7.0,"Stadio Olimpico, Roma (ITA)",10.06,986
10.69,0.9,Alessandro CAVALLARO,80,ITA,F1,6.0,"Stadio Olimpico, Roma (ITA)",10.06,980
10.69,-0.9,Pascal MANCINI,89,SUI,F1,6.0,"Letzigrund, Zürich (SUI)",19.08,985
10.69,-0.7,Wout VERHOEVEN,88,BEL,H1,2.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,984
10.7,1.1,Libor ŽILKA,86,CZE,H2,4.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,977
10.71,1.1,Manolis KOUTSOUKLAKIS,89,GRE,H2,5.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,974
10.72,0.4,Dániel KARLIK,91,HUN,H3,6.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,971
10.73,-0.9,Aron BEYENE,85,SUI,F1,7.0,"Letzigrund, Zürich (SUI)",19.08,973
10.73,-0.7,Robert KUBACZYK,86,POL,H1,3.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,972
10.73,1.1,Morten JENSEN,82,DEN,H2,6.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,968
10.75,1.7,Philip Bjørnå BERNTSEN,89,NOR,H1,7.0,"Bislett Stadion, Oslo (NOR)",4.06,962
10.75,0.9,Lindell PHILIP,90,NED,F1,7.0,"Stadio Olimpico, Roma (ITA)",10.06,962
10.77,0.9,Jean Marie LOUIS,86,BEL,F1,8.0,"Stadio Olimpico, Roma (ITA)",10.06,955
10.77,0.4,Jozef ŠVONDRK,86,SVK,H3,7.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,955
10.78,-2.0,Tyron AKINS,86,USA,H2,8.0,"International Stadium, Gateshead (GBR)",10.07,964
10.79,-0.7,Imaad HALLAY,84,FRA,H1,4.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,953
10.79,1.1,Desislav GUNEV,86,BUL,H2,7.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,949
10.8,-0.2,Odain ROSE,92,SWE,F1,1.0,"Olympiastadion, Stockholm (SWE)",6.08,947
10.8,0.4,Richard PULST,91,EST,H3,8.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,946
10.81,-0.7,Tony DARKWAH,86,SWE,H1,7.0,"Olympiastadion, Stockholm (SWE)",6.08,947
10.82,-0.2,Cédric NABE,83,SUI,F,5.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,941
10.83,-1.6,Junior EJEHU,91,GBR,H1,8.0,"International Stadium, Gateshead (GBR)",10.07,946
10.83,-0.9,Kamil MASZTAK,84,POL,F1,8.0,"Letzigrund, Zürich (SUI)",19.08,942
10.88,-0.2,Steven GUGERLI,85,SUI,F,6.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,923
10.89,-0.2,Kwasi ASANTE OFOSU,88,SUI,F,7.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,920
10.89,-0.7,Emil ZAIL,87,SWE,H1,5.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,923
10.9,-0.1,Carl ARMFELT,84,SWE,F2,1.0,"Olympiastadion, Stockholm (SWE)",6.08,916
10.91,-0.2,Thomas NIKITIN,82,SWE,F1,2.0,"Olympiastadion, Stockholm (SWE)",6.08,914
10.92,-0.9,Lindell PHILIP,90,NED,F1,9.0,"Letzigrund, Zürich (SUI)",19.08,915
10.97,-0.7,Vasile BOBOŞ,85,ROU,H1,6.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,899
10.99,1.1,Niko TAAVITSAINEN,84,FIN,H2,8.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,889
11.06,-0.2,Jan WOCALEWSKI,93,SWE,F1,3.0,"Olympiastadion, Stockholm (SWE)",6.08,870
11.16,-0.1,André DRUMMOND,90,SWE,F2,2.0,"Olympiastadion, Stockholm (SWE)",6.08,840
11.21,-0.2,Niklas LARSSON,85,SWE,F1,4.0,"Olympiastadion, Stockholm (SWE)",6.08,826
11.25,-0.2,Jonathan WULFF,94,SWE,F1,5.0,"Olympiastadion, Stockholm (SWE)",6.08,815
11.25,-0.1,Judel KIBONDO,86,SWE,F2,3.0,"Olympiastadion, Stockholm (SWE)",6.08,814
