,Unnamed: 0,results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
113,113,10.54,-0.1,Justyn WARNER,87,CAN,SF2,6.0,"Icahn Stadium, New York, NY (USA)",25.05,1027
114,114,10.55,-0.4,Yoshihide KIRYU,95,JPN,H1,8.0,"Alexander Stadium, Birmingham (GBR)",30.06,1026
115,115,10.58,1.0,Rakieem SALAAM,90,USA,SF1,2.0,"Icahn Stadium, New York, NY (USA)",25.05,1015
116,116,10.58,1.0,Gerald PHIRI,88,ZAM,SF1,3.0,"Icahn Stadium, New York, NY (USA)",25.05,1015
117,117,10.58,1.0,Trell KIMMONS,85,USA,SF1,4.0,"Icahn Stadium, New York, NY (USA)",25.05,1015
118,118,10.59,-0.4,Ceolamar WAYS,94,USA,F,2.0,"Icahn Stadium, New York, NY (USA)",25.05,1013
119,119,10.6,-0.4,Elijah HALL,94,USA,F,3.0,"Icahn Stadium, New York, NY (USA)",25.05,1010
120,120,10.6,-0.8,Justyn WARNER,87,CAN,F,7.0,"Icahn Stadium, New York, NY (USA)",25.05,1012
121,121,10.61,1.0,Daniel BAILEY,86,ANT,SF1,5.0,"Icahn Stadium, New York, NY (USA)",25.05,1005
122,122,10.61,-0.4,Kyle FULKS,93,USA,F,4.0,"Icahn Stadium, New York, NY (USA)",25.05,1007
123,123,10.61,-0.4,Trayvon BROMELL,95,USA,F,5.0,"Icahn Stadium, New York, NY (USA)",25.05,1007
124,124,10.64,-0.1,Jeremy BASCOM,83,GUY,SF2,7.0,"Icahn Stadium, New York, NY (USA)",25.05,996
125,125,10.64,1.7,Yanier BELLO,95,SUI,F,4.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",4.07,996
126,126,10.65,1.0,Terrell WILKS,89,USA,SF1,6.0,"Icahn Stadium, New York, NY (USA)",25.05,993
127,127,10.66,1.7,Sugantham SOMASUNDARAM,92,SUI,F,5.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",4.07,990
